Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
955,Adam\'a0Rosales\\rosalad01,31,TEX,AL,56,181,164,20,43,7,0,4,19,4,2,13,42,.262,.328,.378,.706,97,62,5,3,0,0,0,3/54D6\
956,Wilin\'a0Rosario\\rosarwi01,25,COL,NL,106,410,382,46,102,25,0,13,54,1,0,23,70,.267,.305,.435,.739,93,166,17,0,0,5,5,2/3\
957,B.J.\'a0Rosenberg\\rosenbj01,28,PHI,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
958,Trevor\'a0Rosenthal\\rosentr01,24,STL,NL,68,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
959,Cody\'a0Ross\\rossco01,33,ARI,NL,83,219,202,15,51,8,0,2,15,0,0,15,44,.252,.306,.322,.628,75,65,3,1,0,1,0,79\
960,David\'a0Ross\\rossda01,37,BOS,AL,50,171,152,16,28,7,0,7,15,0,1,16,58,.184,.260,.368,.629,74,56,1,0,2,1,1,2\
961,Robbie\'a0Ross*\\rossro01,25,TEX,AL,2,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,56,0,0,0,0,0,0,1\
962,Tyson\'a0Ross\\rossty01,27,SDP,NL,29,63,56,6,10,1,0,0,3,0,0,3,22,.179,.230,.196,.426,26,11,0,1,2,1,0,1\
963,Zac\'a0Rosscup\\rosscza01,26,CHC,NL,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
964,Ryan\'a0Rowland-Smith*\\rowlary01,31,ARI,NL,6,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
965,Ryan\'a0Rua\\ruary01,24,TEX,AL,28,109,105,11,31,7,0,2,14,1,0,2,18,.295,.321,.419,.740,105,44,6,2,0,0,0,7/3D5\
966,Drew\'a0Rucinski\\rucindr01,25,LAA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
967,Darin\'a0Ruf\\rufda01,27,PHI,NL,52,117,102,13,24,8,0,3,8,0,0,8,32,.235,.310,.402,.712,98,41,2,4,1,2,0,37/5\
968,Justin\'a0Ruggiano\\ruggiju01,32,CHC,NL,81,250,224,29,63,13,1,6,28,2,4,18,70,.281,.337,.429,.766,112,96,2,3,1,4,0,987\
969,Carlos\'a0Ruiz\\ruizca01,35,PHI,NL,110,445,381,43,96,25,1,6,31,4,2,46,60,.252,.347,.370,.717,101,141,11,12,1,5,1,*2\
970,Cameron\'a0Rupp\\ruppca01,25,PHI,NL,18,64,60,4,11,4,0,0,6,0,0,4,20,.183,.234,.250,.484,36,15,5,0,0,0,0,2\
971,Chris\'a0Rusin*\\rusinch01,27,CHC,NL,4,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
972,James\'a0Russell*\\russeja02,28,TOT,NL,62,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
973,Josh\'a0Rutledge\\rutlejo01,25,COL,NL,105,342,309,44,83,16,7,4,33,2,3,20,83,.269,.323,.405,.728,91,125,6,6,5,2,0,64/5\
974,Brendan\'a0Ryan\\ryanbr01,32,NYY,AL,49,124,114,5,19,4,0,0,8,0,2,4,30,.167,.211,.202,.413,18,23,2,3,1,2,0,64/35D\
975,Hyun-Jin\'a0Ryu\\ryuhy01,27,LAD,NL,24,56,47,4,7,2,0,0,2,0,0,1,17,.149,.167,.191,.358,2,9,0,0,8,0,0,1\
976,Marc\'a0Rzepczynski*\\rzepcma01,28,CLE,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
977,CC\'a0Sabathia*\\sabatc.01,33,NYY,AL,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,/1\
978,Casey\'a0Sadler\\sadleca02,23,PIT,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
979,Fernando\'a0Salas\\salasfe01,29,LAA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
980,Danny\'a0Salazar\\salazda01,24,CLE,AL,2,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
981,Chris\'a0Sale*\\salech01,25,CHW,AL,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
982,Jarrod\'a0Saltalamacchia#\\saltaja01,29,MIA,NL,114,435,373,43,82,20,0,11,44,0,1,55,143,.220,.320,.362,.681,91,135,11,2,0,5,4,2/D\
983,Jeff\'a0Samardzija\\samarje01,29,TOT,MLB,17,38,34,3,6,3,0,0,3,0,0,0,10,.176,.167,.265,.431,18,9,1,0,2,2,0,1\
984,Aaron\'a0Sanchez\\sanchaa01,21,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
985,Anibal\'a0Sanchez\\sanchan01,30,DET,AL,2,5,5,0,1,1,0,0,1,0,0,0,3,.200,.200,.400,.600,65,2,0,0,0,0,0,1\
986,Gaby\'a0Sanchez\\sanchga01,30,PIT,NL,123,290,262,31,60,18,1,7,33,2,0,23,58,.229,.293,.385,.679,90,101,6,2,0,3,0,3/D9\
987,Hector\'a0Sanchez#\\sanchhe01,24,SFG,NL,66,177,163,8,32,8,0,3,28,0,1,8,55,.196,.237,.301,.538,53,49,2,2,0,4,1,2/3\
988,Tony\'a0Sanchez\\sanchto01,26,PIT,NL,26,80,75,3,20,1,0,2,13,0,0,3,28,.267,.300,.360,.660,86,27,0,1,0,1,0,2/D\
989,Yolmer\'a0Sanchez#\\sanchca01,22,CHW,AL,28,104,100,6,25,5,0,0,5,1,1,3,25,.250,.269,.300,.569,64,30,1,0,0,1,0,4/6\
990,Pablo\'a0Sandoval#\\sandopa01,27,SFG,NL,157,638,588,68,164,26,3,16,73,0,0,39,85,.279,.324,.415,.739,111,244,16,4,0,7,6,*5/D\
991,Jerry\'a0Sands\\sandsje01,26,TBR,AL,12,22,21,1,4,0,0,1,4,0,0,0,6,.190,.227,.333,.561,59,7,2,1,0,0,0,/D\
992,Carlos\'a0Santana#\\santaca01,28,CLE,AL,152,660,541,68,125,25,0,27,85,5,2,113,124,.231,.365,.427,.792,122,231,13,3,0,3,5,35D2\
993,Danny\'a0Santana#\\santada01,23,MIN,AL,101,430,405,70,129,27,7,7,40,20,4,19,98,.319,.353,.472,.824,130,191,3,3,2,1,0,86/D\
994,Domingo\'a0Santana\\santado01,21,HOU,AL,6,18,17,1,0,0,0,0,0,0,0,1,14,.000,.056,.000,.056,-82,0,0,0,0,0,0,/79\
995,Ervin\'a0Santana\\santaer01,31,ATL,NL,31,73,63,7,7,1,0,0,1,0,0,2,28,.111,.138,.127,.265,-24,8,1,0,8,0,0,1\
996,Hector\'a0Santiago\\santihe01,26,LAA,AL,2,5,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,46,1,0,0,1,0,0,1\
997,Ramon\'a0Santiago#\\santira01,34,CIN,NL,75,214,179,20,44,8,0,2,17,2,1,24,38,.246,.343,.324,.667,89,58,1,3,7,1,0,546/7\
998,Sergio\'a0Santos\\santose01,30,TOR,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/D\
999,Luis\'a0Sardinas#\\sardilu01,21,TEX,AL,43,125,115,12,30,6,0,0,8,5,1,5,21,.261,.303,.313,.616,73,36,5,2,3,0,0,46/5D\
1000,Josh\'a0Satin\\satinjo01,29,NYM,NL,25,43,35,2,3,2,0,0,3,0,0,6,14,.086,.256,.143,.399,19,5,2,2,0,0,0,/35\
1001,Michael\'a0Saunders*\\saundmi01,27,SEA,AL,78,263,231,38,63,11,3,8,34,4,5,26,59,.273,.341,.450,.791,128,104,2,0,2,4,1,98/D7\
1002,Rob\'a0Scahill*\\scahiro01,27,COL,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1003,Jordan\'a0Schafer*\\schafjo02,27,TOT,MLB,104,240,210,26,50,9,1,1,15,30,7,22,48,.238,.310,.305,.615,75,64,1,0,8,0,1,78/9D\
1004,Logan\'a0Schafer*\\schaflo01,27,MIL,NL,65,136,116,13,21,9,1,0,8,2,1,15,27,.181,.278,.276,.554,55,32,0,1,3,1,3,798\
1005,Max\'a0Scherzer\\scherma01,29,DET,AL,2,4,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,2,0,0,1\
