Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary▼,Acquired,Pos Summary
1,Manny Ramirez\ramirma02,32,BOS,152,663,42,-3,-2,-13,-7,17,1.8,25,42,4.1,.511,.510,5.2,-1.8,55,$22500000,Free Agency,*7D
2,Alex Rodriguez\rodrial01,28,NYY,155,698,33,4,0,14,3,53,5.2,25,78,7.6,.533,.531,6.1,1.8,64,$22000000,Traded,*5/6
3,Carlos Delgado*\delgaca01,32,TOR,128,551,16,-4,-1,6,-8,9,1.0,21,29,2.9,.507,.505,2.2,-0.1,23,$19700000,Amateur Free Agent,*3/D
4,Derek Jeter\jeterde01,30,NYY,154,721,20,4,-1,-13,8,18,1.9,25,43,4.2,.511,.510,5.3,-0.4,56,$18600000,Amateur Draft,*6
5,Barry Bonds*\bondsba01,39,SFG,147,617,106,0,1,-8,-6,93,8.7,19,112,10.6,.560,.555,11.4,-1.5,120,$18000000,Amateur Draft--no sign,*7/D
6,Pedro Martinez\martipe02,32,BOS,33,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$17500000,Traded,1
7,Shawn Green*\greensh01,31,LAD,157,671,14,-1,-1,-3,-9,0,-0.1,21,21,1.9,.500,.500,2.2,-1.3,24,$16666667,Traded,*39/D
8,Mike Piazza\piazzmi01,35,NYM,129,528,5,-3,-3,-11,-2,-14,-1.5,16,3,0.1,.489,.491,1.3,-1.3,14,$16071429,Traded,32/D
9,Jeff Bagwell\bagweje01,36,HOU,156,679,20,0,0,6,-9,17,1.6,21,38,3.7,.511,.511,3.1,-0.4,32,$16000000,Traded,*3/D
10,Randy Johnson\johnsra05,40,ARI,35,87,-14,-1,0,0,13,-2,-0.2,0,-2,-0.2,.495,.499,-0.2,0.0,-2,$16000000,Free Agency,1
11,Mike Mussina*\mussimi01,35,NYY,27,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$16000000,Free Agency,1
12,Sammy Sosa\sosasa01,35,CHC,126,539,10,-2,-1,-5,-5,-3,-0.4,17,14,1.3,.498,.498,1.8,-1.1,19,$16000000,Traded,*9/D
13,Kevin Brown\brownke01,39,NYY,22,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$15714286,Traded,1
14,Chipper Jones#\jonesch06,32,ATL,137,567,16,-1,0,8,0,23,2.2,18,41,3.9,.517,.514,3.1,0.7,33,$15333333,Amateur Draft,57/D
15,Mike Hampton\hamptmi01,31,ATL,36,71,-6,0,0,0,11,4,0.4,0,4,0.4,.511,.502,0.4,0.0,4,$14625000,Traded,1
16,Magglio Ordonez\ordonma01,30,CHW,52,222,6,1,0,-4,-2,0,0.1,8,9,0.9,.500,.500,1.2,-0.6,13,$14000000,Amateur Free Agent,9/D
17,Chan Ho Park\parkch01,31,TEX,16,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$14000000,Free Agency,1
18,Gary Sheffield\sheffga01,35,NYY,154,684,37,0,-1,-10,-7,18,1.8,25,43,4.2,.511,.510,5.0,-1.6,53,$13000000,Free Agency,*9D/5
19,Larry Walker*\walkela01,37,2TM,82,316,24,1,1,-4,-3,19,1.8,10,29,2.8,.522,.505,3.1,-0.7,33,$12666667,Free Agency,9/D
20,Ken Griffey*\griffke02,34,CIN,83,348,10,-1,0,-13,1,-4,-0.4,11,7,0.6,.496,.498,2.0,-1.2,20,$12500000,Traded,8/D9
21,Richard Hidalgo\hidalri01,29,2TM,144,579,-11,-3,-2,16,-6,-5,-0.7,18,13,1.1,.496,.498,-0.5,1.0,-3,$12500000,Amateur Free Agent,9
22,Andruw Jones\jonesan01,27,ATL,154,646,7,-2,-3,8,3,13,1.2,20,33,3.2,.509,.508,2.4,1.1,25,$12500000,Amateur Free Agent,*8
23,Matt Morris\morrima01,29,STL,32,75,-9,0,0,0,11,2,0.2,0,2,0.2,.506,.501,0.2,0.0,2,$12500000,Free Agency,1
24,Jason Giambi*\giambja01,33,NYY,80,322,-3,-2,0,-3,-5,-13,-1.2,12,-1,-0.1,.484,.492,0.1,-0.7,2,$12428571,Free Agency,3D
25,Darren Dreifort\dreifda01,32,LAD,60,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$12400000,Free Agency,1
26,Bernie Williams#\willibe02,35,NYY,148,651,10,-1,-2,-20,-3,-16,-1.3,24,8,0.9,.490,.491,2.7,-2.0,28,$12357143,Free Agency,8D
27,Jim Thome*\thomeji01,33,PHI,143,618,27,-3,0,-2,-8,14,1.3,19,33,3.2,.510,.509,3.4,-1.1,35,$12166667,Free Agency,*3/D
28,Curt Schilling\schilcu01,37,BOS,32,7,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.1,0,$12000000,Traded,1
29,Jermaine Dye\dyeje01,30,OAK,137,590,4,-2,-2,-2,-6,-8,-0.7,22,14,1.4,.494,.495,1.5,-0.6,16,$11666667,Traded,*9/D
30,John Smoltz\smoltjo01,37,ATL,73,2,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$11666667,Free Agency,1
31,Todd Helton*\heltoto01,30,COL,154,683,60,0,1,12,-9,64,6.3,21,85,8.3,.541,.539,7.1,0.3,73,$11600000,Amateur Draft,*3
32,Nomar Garciaparra\garcino01,30,2TM,81,354,10,1,-2,-12,4,1,0.1,12,13,1.3,.501,.501,2.4,-0.8,25,$11500000,Amateur Draft,6/D
33,Bartolo Colon\colonba01,31,ANA,34,3,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.1,0,$11000000,Free Agency,1
34,Vladimir Guerrero\guerrvl01,29,ANA,156,680,47,3,-1,-10,-7,32,3.2,25,58,5.6,.519,.519,6.4,-1.5,67,$11000000,Free Agency,*9D
35,Kevin Millwood\millwke01,29,PHI,25,53,-7,0,0,0,8,0,0.0,0,0,0.0,.502,.500,0.0,0.0,0,$11000000,Free Agency,1
36,Mike Sweeney\sweenmi01,30,KCR,106,452,10,-2,-1,-4,-8,-4,-0.3,17,13,1.3,.496,.498,1.6,-1.0,17,$11000000,Amateur Draft,3D
37,Mariano Rivera\riverma01,34,NYY,74,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.1,0,$10890000,Amateur Free Agent,1
38,Tom Glavine*\glavito02,38,NYM,35,72,-4,0,0,0,11,6,0.6,0,6,0.6,.518,.504,0.6,0.0,6,$10765608,Free Agency,1
39,Brad Radke\radkebr01,31,MIN,34,3,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.1,0,$10750000,Free Agency,1
40,Bobby Abreu*\abreubo01,30,PHI,159,713,43,7,2,1,-6,46,4.5,21,68,6.5,.529,.528,6.4,-0.6,67,$10600000,Traded,*9
41,Al Leiter*\leiteal01,38,NYM,30,59,-10,0,0,0,9,-2,-0.2,0,-2,-0.2,.494,.499,-0.2,0.0,-2,$10295600,Traded,1
42,Jeff Kent\kentje01,36,HOU,145,606,20,-1,-3,3,3,22,2.1,19,41,3.9,.515,.514,3.6,0.6,38,$10000000,Free Agency,*4/D
43,Troy Glaus\glaustr01,27,ANA,58,242,11,-1,-1,-1,-3,5,0.5,9,14,1.3,.507,.503,1.4,-0.4,15,$9900000,Amateur Draft,D5
44,Tim Salmon\salmoti01,35,ANA,60,206,-8,0,1,1,-4,-11,-1.0,8,-3,-0.3,.483,.494,-0.4,-0.2,-4,$9900000,Amateur Draft,D/97
45,Moises Alou\aloumo01,37,CHC,155,675,30,-2,0,-1,-6,21,1.9,21,41,4.0,.513,.513,4.1,-0.8,42,$9500000,Free Agency,*7/D
46,Jim Edmonds*\edmonji01,34,STL,153,612,52,-2,0,2,3,55,5.3,19,74,7.2,.536,.534,7.0,0.4,72,$9333333,Traded,*8/3D
47,Carlos Beltran#\beltrca01,27,2TM,159,708,26,10,2,6,3,47,4.6,23,70,6.8,.529,.515,6.1,1.0,64,$9000000,Traded,8
48,Charles Johnson\johnsch04,32,COL,109,362,-1,0,0,-1,5,3,0.2,11,14,1.3,.503,.502,1.4,0.4,15,$9000000,Traded,2
49,Eric Milton*\miltoer01,28,PHI,34,75,-10,-1,0,0,11,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$9000000,Traded,1
50,Hideo Nomo\nomohi01,35,LAD,18,27,-4,0,0,0,4,0,0.0,0,0,0.0,.502,.500,0.0,0.0,0,$9000000,Free Agency,1
51,Jorge Posada#\posadjo01,32,NYY,137,547,26,-3,-4,-12,8,16,1.6,21,36,3.5,.511,.509,4.6,-0.3,48,$9000000,Amateur Draft,*2
52,Javier Vazquez\vazquja01,27,NYY,32,5,0,0,0,0,1,1,0.1,0,1,0.1,.502,.500,0.1,0.1,1,$9000000,Traded,1
53,Preston Wilson\wilsopr01,29,COL,58,222,-10,0,-1,-7,1,-17,-1.8,7,-10,-1.1,.470,.489,-0.4,-0.6,-3,$9000000,Traded,8
54,Bobby Higginson*\higgibo02,33,DET,131,531,0,2,-1,8,-6,3,0.4,20,23,2.2,.502,.502,1.4,0.3,15,$8850000,Amateur Draft,*9D
55,Brian Giles*\gilesbr02,33,SDP,159,711,25,3,3,-6,-6,18,1.7,21,39,3.7,.511,.511,4.4,-1.3,45,$8833333,Traded,*9
56,Geoff Jenkins*\jenkige01,29,MIL,157,681,2,1,-1,-1,-6,-5,-0.6,21,16,1.4,.497,.497,1.5,-0.8,17,$8737500,Amateur Draft,*7
57,Richie Sexson\sexsori01,29,ARI,23,104,3,1,0,-2,-1,0,0.0,3,3,0.3,.500,.500,0.5,-0.4,5,$8725000,Traded,3
58,Aaron Sele\seleaa01,34,ANA,28,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$8666667,Free Agency,1
59,Scott Rolen\rolensc01,29,STL,142,593,40,2,0,30,2,74,7.3,18,93,9.2,.552,.546,6.1,3.3,63,$8625000,Traded,*5
60,Jason Kendall\kendaja01,30,PIT,147,658,13,2,0,-4,9,21,1.9,20,40,3.9,.514,.513,4.3,0.4,44,$8571429,Amateur Draft,*2
61,Jose Contreras\contrjo01,32,2TM,31,8,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.497,.500,-0.1,0.0,-1,$8500000,Traded,1
62,Phil Nevin\nevinph01,33,SDP,147,623,24,-3,-2,1,-8,13,1.2,19,32,3.0,.509,.508,3.0,-0.8,31,$8500000,Traded,*3/D2
63,Luis Gonzalez*\gonzalu01,36,ARI,105,451,7,0,0,-2,-4,2,0.1,14,16,1.5,.502,.501,1.7,-0.7,18,$8250000,Traded,7/D
64,Bret Boone\boonebr01,35,SEA,148,658,-9,-3,0,-12,4,-21,-1.8,24,4,0.4,.487,.488,1.5,-0.7,16,$8000000,Free Agency,*4
65,Johnny Damon*\damonjo01,30,BOS,150,702,19,5,3,-11,3,19,2.0,24,43,4.2,.512,.511,5.2,-0.7,54,$8000000,Free Agency,*8/D
66,Paul Konerko\konerpa01,28,CHW,155,643,22,-2,-4,-7,-10,-1,0.0,24,23,2.3,.499,.499,2.8,-1.5,30,$8000000,Traded,*3D
67,Billy Wagner*\wagnebi02,32,PHI,45,2,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$8000000,Traded,1
68,Woody Williams\williwo02,37,STL,34,70,-7,-1,0,0,10,2,0.2,0,2,0.2,.507,.502,0.2,0.0,2,$8000000,Free Agency,1
69,Kerry Wood\woodke02,27,CHC,22,53,-8,-1,0,0,8,-1,-0.1,0,-1,-0.1,.497,.500,-0.1,0.0,-1,$8000000,Amateur Draft,1
70,Jason Schmidt\schmija01,31,SFG,32,84,-10,0,0,0,12,3,0.3,0,3,0.3,.508,.502,0.3,0.0,3,$7937500,Traded,1
71,Troy Percival\percitr01,34,ANA,52,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.1,0,$7833333,Amateur Draft,1
72,Darin Erstad*\erstada01,30,ANA,125,543,2,4,1,8,-7,8,0.9,20,29,2.8,.506,.505,2.0,0.2,21,$7750000,Amateur Draft,*3
73,Jason Isringhausen\isrinja01,31,STL,74,3,0,0,0,0,1,1,0.1,0,1,0.1,.501,.500,0.1,0.0,1,$7750000,Free Agency,1
74,Dmitri Young#\youngdm01,30,DET,104,432,5,-2,1,6,-9,1,0.2,16,17,1.7,.501,.501,1.1,-0.2,11,$7750000,Traded,D3/75
75,John Olerud*\olerujo01,35,2TM,127,500,-4,-2,0,3,-7,-9,-0.8,19,10,1.0,.493,.497,0.6,-0.3,7,$7700000,Free Agency,3
76,Mike Lieberthal\liebemi01,32,PHI,131,529,-3,-2,-3,-9,8,-9,-1.0,16,8,0.6,.493,.494,1.5,-0.2,16,$7500000,Amateur Draft,*2
77,Tino Martinez*\martiti02,36,TBD,138,538,10,-2,-1,4,-8,4,0.5,20,24,2.3,.502,.502,1.9,-0.3,20,$7500000,Traded,*3D
78,Matt Lawton*\lawtoma02,32,CLE,150,680,13,0,-1,-18,-6,-12,-1.0,24,12,1.3,.492,.493,2.9,-2.2,30,$7250000,Traded,*79/D
79,Edgar Renteria\renteed01,27,STL,149,642,-8,-2,1,3,7,2,0.1,20,22,2.1,.502,.501,1.8,1.0,19,$7250000,Traded,*6
80,Ray Durham#\durhara01,32,SFG,120,542,12,1,0,-5,3,11,1.0,16,27,2.6,.509,.507,3.1,-0.3,32,$7200000,Free Agency,*4
81,Paul Byrd\byrdpa01,33,ATL,19,43,-3,0,0,0,6,3,0.3,0,3,0.3,.518,.502,0.3,0.0,3,$7000000,Free Agency,1
82,Steve Finley*\finlest01,39,2TM,162,706,4,-3,2,5,3,11,1.0,22,33,3.1,.507,.503,2.6,0.8,28,$7000000,Free Agency,8/D
