Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos
370,Matt\'a0Guerrier\\guerrma02,32,LAD,70,1,0,0,0,0,0,1,0.1,0,1,0.1,.501,.500,0.1,0.0,1,$1500000,Free Agency,1\
371,Rich\'a0Harden*\\harderi01,29,OAK,15,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1500000,Free Agency,1\
372,Cesar\'a0Izturis#\\izturce01,31,BAL,18,33,-3,0,0,2,1,0,0.0,1,1,0.1,.498,.500,-0.1,0.3,-1,$1500000,Free Agency,6/45D\
373,Andruw\'a0Jones\\jonesan01,34,NYY,77,222,6,-1,0,0,-4,1,0.2,8,10,1.0,.502,.501,1.0,-0.4,10,$1500000,Free Agency,79D\
374,Leonys\'a0Martin*\\martile01,23,TEX,8,8,1,0,0,-1,0,0,0.0,0,1,0.1,.505,.500,0.2,-0.1,2,$1500000,Amateur Free Agent,/8\
375,John\'a0McDonald\\mcdonjo03,36,2TM,84,245,-11,-1,1,12,3,4,0.4,9,12,1.2,.504,.502,-0.1,1.6,0,$1500000,Traded,6\
376,Will\'a0Ohman*\\ohmanwi01,33,CHW,59,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1500000,Free Agency,1\
377,Chad\'a0Qualls\\quallch01,32,SDP,77,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1500000,Free Agency,1\
378,Junichi\'a0Tazawa\\tazawju01,25,BOS,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1500000,Free Agency,/1\
379,Kerry\'a0Wood\\woodke02,34,CHC,55,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1500000,Free Agency,1\
380,Carlos\'a0Gonzalez*\\gonzaca01,25,COL,127,542,16,2,1,8,-3,24,2.6,17,41,4.3,.521,.516,3.3,0.5,33,$1428571,Traded,*798\
381,Carlos\'a0Villanueva\\villaca01,27,TOR,33,5,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1415000,Purchased,1\
382,Craig\'a0Breslow*\\breslcr01,30,OAK,67,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1400000,Waivers,1\
383,Joba\'a0Chamberlain\\chambjo03,25,NYY,27,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1400000,Amateur Draft,1\
384,Craig\'a0Counsell*\\counscr01,40,MIL,107,187,-14,2,1,6,2,-4,-0.4,6,2,0.1,.496,.497,-0.6,0.9,-4,$1400000,Free Agency,465/7\
385,Aaron\'a0Crow\\crowaa01,24,KCR,57,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1400000,Amateur Draft,1\
386,Alex\'a0Gordon*\\gordoal01,27,KCR,151,690,35,0,0,19,-7,47,5.0,24,71,7.2,.532,.530,5.3,1.3,52,$1400000,Amateur Draft,*7/3\
387,Joel\'a0Hanrahan\\hanrajo01,29,PIT,70,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1400000,Traded,1\
388,Clay\'a0Hensley\\henslcl01,31,FLA,37,17,-4,0,0,0,2,-2,-0.2,0,-2,-0.2,.496,.499,-0.2,0.0,-2,$1400000,Free Agency,1\
389,Ryan\'a0Sweeney*\\sweenry01,26,OAK,108,299,-3,-1,0,-4,-2,-9,-1.0,11,2,0.1,.491,.494,0.6,-0.6,6,$1400000,Traded,789/D\
390,Kyle\'a0McClellan\\mccleky01,27,STL,44,41,-5,0,0,0,5,1,0.1,0,1,0.1,.502,.501,0.1,0.0,1,$1375000,Amateur Draft,1\
391,Geoff\'a0Blum#\\blumge01,38,ARI,23,55,-1,0,0,0,0,-1,-0.1,2,1,0.1,.496,.499,0.1,0.0,1,$1350000,Free Agency,5\
392,Sean\'a0Burnett*\\burnese01,28,WSN,69,2,1,0,0,0,1,2,0.2,0,2,0.2,.503,.501,0.2,0.0,2,$1350000,Traded,1\
393,Todd\'a0Coffey\\coffeto01,30,WSN,69,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1350000,Free Agency,1\
394,Eric\'a0Hinske*\\hinsker01,33,ATL,117,264,-3,-2,0,1,-3,-6,-0.7,8,2,0.1,.494,.496,0.0,-0.2,1,$1350000,Free Agency,793/D\
395,Brian\'a0Matusz*\\matusbr01,24,BAL,12,2,-1,0,0,0,0,0,0.0,0,0,0.0,.498,.500,0.0,0.0,0,$1350000,Amateur Draft,1\
396,J.C.\'a0Romero#\\romerj.01,35,2TM,36,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1350000,Free Agency,1\
397,Ramon\'a0Santiago#\\santira01,31,DET,101,294,-5,-1,0,8,3,6,0.6,11,17,1.7,.506,.504,0.9,1.2,9,$1350000,Free Agency,46/5\
398,Rafael\'a0Perez*\\perezra01,29,CLE,71,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.1,0,$1330000,Amateur Free Agent,1\
399,Santiago\'a0Casilla\\garcija01,30,SFG,49,1,0,0,0,0,0,1,0.1,0,1,0.1,.502,.500,0.1,0.0,1,$1300000,Free Agency,1\
400,Austin\'a0Kearns\\kearnau01,31,CLE,57,174,-6,-1,0,-3,-3,-12,-1.3,7,-6,-0.7,.477,.492,-0.3,-0.6,-3,$1300000,Free Agency,79/D\
401,Ronny\'a0Paulino\\pauliro01,30,NYM,78,248,-5,-1,-1,-6,4,-9,-1.0,8,-2,-0.3,.487,.494,0.4,-0.3,4,$1300000,Free Agency,2\
402,Ryan\'a0Raburn\\raburry01,30,DET,121,418,-4,0,1,-9,-2,-14,-1.5,16,1,0.1,.488,.491,1.0,-1.2,10,$1300000,Amateur Draft,479/5D38\
403,Darren\'a0O'Day\\odayda01,28,TEX,16,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1251000,Waivers,1\
404,Brett\'a0Anderson*\\anderbr04,23,OAK,13,1,0,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$1250000,Traded,1\
405,Melky\'a0Cabrera#\\cabreme01,26,KCR,155,706,19,2,1,-5,2,19,2.0,25,44,4.4,.513,.512,5.0,-0.3,49,$1250000,Free Agency,*87/D9\
406,Livan\'a0Hernandez\\hernali01,36,WSN,31,61,-5,-1,0,0,8,2,0.2,0,2,0.2,.507,.501,0.2,0.0,2,$1250000,Free Agency,1\
407,Kameron\'a0Loe\\loeka01,29,MIL,72,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1250000,Free Agency,1\
408,Brad\'a0Ziegler\\zieglbr01,31,2TM,66,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1250000,Traded,1\
409,D.J.\'a0Carrasco\\carradj01,34,NYM,42,1,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1200000,Free Agency,1\
410,Ramon\'a0Castro\\castrra01,35,CHW,23,75,0,0,0,-1,1,0,0.0,3,2,0.2,.498,.500,0.3,0.0,3,$1200000,Free Agency,2/D\
411,Lance\'a0Cormier\\cormila01,30,LAD,9,1,0,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$1200000,Free Agency,/1\
412,Boone\'a0Logan\\loganbo02,26,NYY,64,1,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1200000,Traded,1\
413,Mark\'a0Lowe*\\lowema01,28,TEX,52,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1200000,Traded,1\
414,Jose\'a0Molina\\molinjo01,36,TOR,55,191,2,0,0,-2,3,2,0.2,7,9,0.9,.504,.501,1.1,0.1,11,$1200000,Free Agency,2/D\
415,George\'a0Sherrill*\\sherrge01,34,ATL,51,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1200000,Free Agency,1\
416,Chien-Ming\'a0Wang\\wangch01,31,WSN,11,20,-4,0,0,0,3,-1,-0.2,0,-1,-0.2,.486,.499,-0.2,0.0,-1,$1200000,Free Agency,1\
