Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary▼,Acquired,Pos Summary
1,Alex Rodriguez\rodrial01,26,TEX,162,725,52,5,-1,1,9,65,6.4,26,91,8.8,.539,.539,8.7,1.0,90,$22000000,Free Agency,*6
2,Carlos Delgado*\delgaca01,30,TOR,143,628,32,-2,0,4,-8,27,2.7,23,50,4.9,.519,.516,4.5,-0.4,46,$19400000,Amateur Free Agent,*3/D
3,Kevin Brown\brownke01,37,LAD,17,22,-1,0,0,0,3,3,0.3,0,3,0.3,.516,.502,0.3,0.0,3,$15714286,Free Agency,1
4,Manny Ramirez\ramirma02,30,BOS,120,518,53,-1,-2,1,-8,43,4.2,19,63,6.0,.535,.526,6.0,-0.7,62,$15462727,Free Agency,7D/9
5,Barry Bonds*\bondsba01,37,SFG,143,612,109,-2,0,0,-6,102,9.9,19,121,11.8,.570,.562,11.8,-0.7,121,$15000000,Amateur Draft--no sign,*7/D
6,Sammy Sosa\sosasa01,33,CHC,150,666,53,0,-1,-8,-6,38,3.7,20,58,5.7,.526,.524,6.6,-1.6,66,$15000000,Traded,*9
7,Derek Jeter\jeterde01,28,NYY,157,730,15,8,0,-18,8,13,1.3,25,38,3.7,.508,.508,5.5,-0.9,57,$14600000,Amateur Draft,*6/D
8,Pedro Martinez\martipe02,30,BOS,30,7,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$14000000,Traded,1
9,Shawn Green*\greensh01,29,LAD,158,685,44,-1,-2,13,-7,48,4.8,21,69,6.9,.531,.530,5.5,0.6,55,$13416667,Traded,*9/D
10,Randy Johnson\johnsra05,38,ARI,35,99,-15,0,-1,0,14,-2,-0.3,0,-2,-0.3,.493,.499,-0.3,0.0,-2,$13350000,Free Agency,1
11,Greg Maddux\maddugr01,36,ATL,35,68,-8,0,0,0,9,2,0.2,0,2,0.2,.506,.501,0.2,0.0,2,$13100000,Free Agency,1
12,Larry Walker*\walkela01,35,COL,136,553,38,2,0,9,-6,43,4.4,17,61,6.1,.533,.528,5.2,0.2,52,$12666667,Free Agency,*9/D
13,Bernie Williams#\willibe02,33,NYY,154,699,38,2,1,-22,2,22,2.2,25,47,4.5,.514,.513,6.7,-1.8,69,$12357143,Free Agency,*8/D
14,Mo Vaughn*\vaughmo01,34,NYM,139,558,8,-3,-1,-16,-7,-20,-2.2,17,-3,-0.5,.485,.487,1.2,-2.5,14,$12166667,Traded,*3
15,Chipper Jones#\jonesch06,30,ATL,158,662,41,0,-1,3,-6,37,3.7,21,58,5.7,.524,.523,5.4,-0.4,54,$11333333,Amateur Draft,*7
16,Jeff Bagwell\bagweje01,34,HOU,158,691,28,1,-2,-2,-9,16,1.6,21,37,3.7,.511,.510,3.9,-1.3,40,$11000000,Traded,*3/D
17,Juan Gonzalez\gonzaju03,32,TEX,70,296,1,1,-2,-3,-3,-7,-0.6,11,4,0.4,.490,.496,0.7,-0.6,8,$11000000,Free Agency,9/D
18,Raul Mondesi\mondera01,31,2TM,146,637,-9,4,2,-9,-6,-18,-1.7,23,6,0.5,.488,.495,1.4,-1.4,14,$11000000,Traded,98/D
19,Mike Mussina*\mussimi01,33,NYY,33,6,1,-1,0,0,1,1,0.1,0,1,0.1,.504,.501,0.1,0.0,1,$11000000,Free Agency,1
20,Mike Piazza\piazzmi01,33,NYM,135,541,24,-1,-4,-12,7,14,1.3,17,30,3.0,.510,.509,4.2,-0.6,42,$10571429,Traded,*2/D
21,Jason Giambi*\giambja01,31,NYY,155,689,61,-1,-2,1,-11,48,4.7,25,73,7.1,.530,.529,7.0,-1.0,72,$10428571,Free Agency,3D
22,Roger Clemens\clemero02,39,NYY,29,4,1,0,0,0,1,1,0.1,0,1,0.1,.503,.501,0.1,0.0,1,$10300000,Free Agency,1
23,Andruw Jones\jonesan01,25,ATL,154,659,22,0,0,19,3,45,4.6,20,66,6.6,.530,.529,4.6,2.3,46,$10000000,Amateur Free Agent,*8/D
24,Curt Schilling\schilcu01,35,ARI,36,98,-14,0,0,0,14,-1,-0.1,0,-1,-0.1,.497,.499,-0.1,0.0,-1,$10000000,Traded,1
25,Frank Thomas\thomafr04,34,CHW,148,628,14,-3,-1,1,-14,-4,-0.3,24,20,1.9,.498,.498,1.9,-1.3,19,$9927000,Free Agency,*D/3
26,Gary Sheffield\sheffga01,33,ATL,135,579,32,1,-1,-1,-6,26,2.6,18,44,4.4,.520,.517,4.4,-0.7,45,$9916667,Traded,*9/D
27,Tim Salmon\salmoti01,33,ANA,138,568,27,-1,0,0,-7,20,2.0,21,41,4.0,.514,.512,4.0,-0.7,41,$9650000,Amateur Draft,*9D
28,Ivan Rodriguez\rodriiv01,30,TEX,108,440,14,0,-2,-2,6,15,1.5,17,31,3.1,.513,.509,3.3,0.4,33,$9600000,Amateur Free Agent,2/D
29,Mike Hampton\hamptmi01,29,COL,36,66,1,0,0,0,9,10,1.0,0,10,1.0,.528,.506,1.0,0.0,10,$9503543,Free Agency,1
30,Kevin Appier\appieke01,34,ANA,32,4,-1,0,0,0,1,-1,0.0,0,-1,0.0,.499,.500,0.0,0.0,-1,$9500000,Traded,1
31,Andy Pettitte*\pettian01,30,NYY,22,3,0,0,0,0,1,1,0.1,0,1,0.1,.503,.500,0.1,0.0,1,$9500000,Amateur Draft,1
32,Matt Williams\willima04,36,ARI,60,238,-1,0,-1,1,1,1,0.0,7,8,0.8,.501,.500,0.7,0.2,7,$9500000,Traded,5
33,Mariano Rivera\riverma01,32,NYY,45,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$9450000,Amateur Free Agent,1
34,Al Leiter*\leiteal01,36,NYM,33,64,-6,0,0,0,9,3,0.3,0,3,0.3,.509,.502,0.3,0.0,3,$9250000,Traded,1
35,Nomar Garciaparra\garcino01,28,BOS,156,693,21,0,-2,16,8,44,4.4,25,69,6.8,.528,.527,5.2,2.4,53,$9000000,Amateur Draft,*6
36,Barry Larkin\larkiba01,38,CIN,145,567,-22,4,-1,-7,7,-19,-2.1,18,-2,-0.4,.486,.488,0.3,-0.1,5,$9000000,Amateur Draft--no sign,*6
37,Craig Biggio\biggicr01,36,HOU,145,655,-4,5,0,-18,3,-13,-1.5,19,6,0.4,.491,.491,2.3,-1.6,24,$8750000,Free Agency,*4/7
38,Brad Radke\radkebr01,29,MIN,21,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$8750000,Amateur Draft,1
39,Greg Vaughn\vaughgr01,36,TBD,69,297,-12,1,1,5,-5,-10,-1.0,11,1,0.1,.485,.494,-0.4,0.0,-4,$8750000,Free Agency,D7
40,Rafael Palmeiro*\palmera01,37,TEX,155,663,32,-1,-1,2,-11,21,2.2,25,46,4.5,.514,.513,4.4,-0.9,45,$8712986,Free Agency,3D
41,Carl Everett#\evereca01,31,TEX,105,418,-1,0,0,-11,-3,-15,-1.4,16,1,0.1,.486,.491,1.1,-1.3,11,$8666666,Traded,98D7
42,Tom Glavine*\glavito02,36,ATL,37,84,-14,0,-1,0,12,-4,-0.4,0,-4,-0.4,.489,.498,-0.4,0.0,-4,$8623700,Amateur Draft,1
43,Scott Rolen\rolensc01,27,2TM,155,667,27,2,-3,15,3,44,4.5,20,65,6.5,.529,.514,4.9,1.8,49,$8600000,Amateur Draft,5
44,Ken Griffey*\griffke02,32,CIN,70,232,-2,-2,-1,-10,1,-13,-1.4,7,-6,-0.7,.480,.491,0.3,-1.0,4,$8557223,Traded,8/79
45,Robin Ventura*\venturo01,34,NYY,141,562,11,0,0,3,2,17,1.7,21,38,3.7,.512,.510,3.4,0.6,35,$8500000,Free Agency,*5/3
46,Robb Nen\nenro01,32,SFG,68,2,0,0,0,0,1,1,0.1,0,1,0.1,.501,.501,0.1,0.0,1,$8300000,Traded,1
47,Ray Lankford*\lankfra01,35,SDP,81,240,-2,-3,0,-4,-2,-10,-1.1,7,-3,-0.4,.487,.493,0.0,-0.6,1,$8100000,Traded,7/8D
48,Brian Giles*\gilesbr02,31,PIT,153,644,55,-1,0,-14,-6,34,3.4,20,54,5.3,.523,.521,6.8,-2.2,69,$8063003,Traded,*7/8
49,Wilson Alvarez*\alvarwi01,32,TBD,23,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.498,.500,-0.1,0.0,-1,$8000000,Free Agency,1
50,Andy Ashby\ashbyan01,34,LAD,30,56,-8,-1,0,0,8,0,-0.1,0,0,-0.1,.499,.500,-0.1,0.0,0,$8000000,Free Agency,1
51,Jay Bell\bellja01,36,ARI,32,56,-4,0,0,0,0,-4,-0.4,2,-2,-0.3,.487,.497,-0.3,0.0,-3,$8000000,Free Agency,/5346
52,Bret Boone\boonebr01,33,SEA,155,675,11,0,2,1,4,18,1.8,25,43,4.2,.511,.511,4.1,0.5,41,$8000000,Free Agency,*4/D
53,Vladimir Guerrero\guerrvl01,27,MON,161,709,50,3,-1,4,-7,49,4.9,21,71,7.0,.531,.531,6.6,-0.4,67,$8000000,Amateur Free Agent,*9
54,Dean Palmer\palmede01,33,DET,4,13,-3,0,0,0,0,-4,-0.4,0,-3,-0.3,.405,.498,-0.3,0.0,-3,$8000000,Free Agency,/D
55,Todd Stottlemyre*\stottto01,37,ARI,5,6,-1,0,0,0,1,0,0.0,0,0,0.0,.495,.500,0.0,0.0,0,$8000000,Free Agency,/1
56,Mike Sweeney\sweenmi01,28,KCR,126,545,34,1,-1,5,-8,31,3.1,20,52,5.0,.524,.519,4.5,-0.3,46,$8000000,Amateur Draft,3D
57,Jim Thome*\thomeji01,31,CLE,147,613,70,0,2,-8,-9,54,5.2,23,77,7.4,.535,.532,8.2,-1.7,85,$8000000,Amateur Draft,*3D
58,Billy Wagner*\wagnebi02,30,HOU,70,2,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$8000000,Amateur Draft,1
59,Roberto Alomar#\alomaro01,34,NYM,149,655,-5,2,0,-12,4,-12,-1.4,20,8,0.6,.492,.492,1.8,-0.9,20,$7939664,Traded,*4
60,Chuck Finley*\finlech01,39,2TM,32,37,-7,0,0,0,5,-1,-0.1,0,-1,-0.1,.496,.500,-0.1,0.0,-1,$7911948,Free Agency,1
61,Shane Reynolds\reynosh01,34,HOU,13,30,-7,0,0,0,4,-3,-0.3,0,-3,-0.3,.477,.498,-0.3,0.0,-3,$7666667,Free Agency,1
62,John Smoltz\smoltjo01,35,ATL,75,2,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$7666667,Free Agency,1
63,Jeffrey Hammonds\hammoje01,31,MIL,128,510,-5,-2,0,-12,-1,-20,-2.1,16,-4,-0.6,.484,.487,0.7,-1.4,8,$7500000,Free Agency,*89/7
