Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary▼,Acquired,Pos Summary
1,Alex Rodriguez\rodrial01,27,TEX,161,715,41,3,0,8,8,61,5.9,26,87,8.4,.536,.536,7.6,1.6,79,$22000000,Free Agency,*6/D
2,Manny Ramirez\ramirma02,31,BOS,154,679,49,2,-4,-9,-8,30,3.0,25,55,5.4,.519,.518,6.2,-1.6,64,$20000000,Free Agency,*7D
3,Carlos Delgado*\delgaca01,31,TOR,161,705,50,0,2,-6,-10,35,3.4,26,61,5.9,.521,.521,6.5,-1.5,67,$18700000,Amateur Free Agent,*3D
4,Mo Vaughn*\vaughmo01,35,NYM,27,96,-4,0,0,-5,-1,-10,-1.0,3,-7,-0.8,.462,.494,-0.2,-0.6,-2,$17166667,Traded,3
5,Sammy Sosa\sosasa01,34,CHC,137,589,23,-2,-1,-4,-5,11,1.0,18,29,2.7,.508,.507,3.1,-1.0,33,$16000000,Traded,*9
6,Kevin Brown\brownke01,38,LAD,32,70,-10,0,0,0,10,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$15714286,Free Agency,1
7,Shawn Green*\greensh01,30,LAD,160,691,16,-1,0,-8,-7,1,0.0,21,22,2.0,.501,.501,2.8,-1.6,30,$15666667,Traded,*9/D
8,Derek Jeter\jeterde01,29,NYY,119,542,20,3,1,-13,6,17,1.7,19,37,3.6,.514,.510,4.8,-0.6,50,$15600000,Amateur Draft,*6
9,Mike Piazza\piazzmi01,34,NYM,68,273,10,0,-1,1,4,13,1.2,9,21,2.1,.519,.508,2.0,0.5,20,$15571429,Traded,2/3
10,Barry Bonds*\bondsba01,38,SFG,130,550,77,1,0,5,-6,78,7.5,17,95,9.2,.558,.547,8.6,-0.1,90,$15500000,Amateur Draft--no sign,*7/D
11,Pedro Martinez\martipe02,31,BOS,29,3,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$15500000,Traded,1
12,Randy Johnson\johnsra05,39,ARI,18,38,-5,0,0,0,5,1,0.1,0,1,0.1,.504,.500,0.1,0.0,1,$15000000,Free Agency,1
13,Greg Maddux\maddugr01,37,ATL,37,78,-12,0,0,0,11,-1,-0.1,0,-1,-0.1,.498,.500,-0.1,0.0,-1,$14750000,Free Agency,1
14,Mike Hampton\hamptmi01,30,ATL,32,74,-4,0,0,0,10,6,0.6,0,6,0.6,.519,.504,0.6,0.0,6,$13625000,Traded,1
15,Chipper Jones#\jonesch06,31,ATL,153,656,29,1,1,1,-6,25,2.4,20,46,4.4,.517,.516,4.3,-0.6,45,$13333333,Amateur Draft,*7/D
16,Jeff Bagwell\bagweje01,35,HOU,160,702,28,1,-3,4,-9,21,2.0,21,43,4.1,.514,.513,3.7,-0.6,38,$13000000,Traded,*3
