Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary▼,Acquired,Pos Summary
1,Alex Rodriguez\rodrial01,30,NYY,154,674,31,2,-1,-13,2,21,2.1,24,45,4.5,.513,.512,5.7,-1.0,58,$21680727,Traded,*5/D
2,Derek Jeter\jeterde01,32,NYY,154,715,36,4,1,-16,7,33,3.2,24,57,5.5,.520,.519,7.1,-0.8,73,$20600000,Amateur Draft,*6/D
3,Jason Giambi*\giambja01,35,NYY,139,579,34,-3,0,-13,-11,7,0.8,22,29,2.8,.505,.504,4.1,-2.3,42,$20428571,Free Agency,D3
4,Barry Bonds*\bondsba01,41,SFG,130,493,30,1,0,1,-5,27,2.5,15,42,4.0,.520,.516,3.9,-0.4,41,$19331470,Amateur Draft--no sign,*7/D
5,Mike Mussina*\mussimi01,37,NYY,32,4,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$19000000,Free Agency,1
6,Manny Ramirez\ramirma02,34,BOS,130,558,46,-2,-2,-12,-5,26,2.5,20,46,4.5,.519,.515,5.6,-1.7,58,$18279238,Free Agency,*7/D
7,Todd Helton*\heltoto01,32,COL,145,649,16,-1,1,-4,-8,4,0.3,20,24,2.2,.503,.503,2.6,-1.3,28,$16600000,Amateur Draft,*3
8,Andy Pettitte*\pettian01,34,HOU,38,73,-8,0,0,0,11,3,0.3,0,3,0.3,.509,.502,0.3,0.0,3,$16428416,Free Agency,1
9,Magglio Ordonez\ordonma01,32,DET,155,646,12,-3,-1,-7,-7,-6,-0.5,24,18,1.8,.496,.496,2.5,-1.3,25,$16200000,Free Agency,*9/D
10,Randy Johnson\johnsra05,42,NYY,33,6,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$15661427,Traded,1
11,Chan Ho Park\parkch01,33,SDP,26,48,-4,-1,0,0,8,3,0.2,0,3,0.2,.510,.502,0.2,0.0,3,$15505142,Traded,1
12,Pedro Martinez\martipe02,34,NYM,23,49,-9,0,0,0,8,-1,-0.2,0,-1,-0.2,.494,.499,-0.2,0.0,-1,$14875000,Free Agency,1
13,Lance Berkman#\berkmla01,30,HOU,152,646,50,-2,0,3,-9,43,4.0,20,63,6.0,.527,.526,5.6,-0.6,60,$14500000,Amateur Draft,*39/7D
14,Jim Thome*\thomeji01,35,CHW,143,610,40,-1,2,0,-13,28,2.8,22,50,4.9,.519,.516,4.9,-1.2,50,$14166667,Traded,*D/3
15,Bartolo Colon\colonba01,33,LAA,10,2,-1,0,0,0,0,0,0.0,0,0,0.0,.498,.500,0.0,0.0,0,$14000000,Free Agency,1
16,Albert Pujols\pujolal01,26,STL,143,634,61,2,-2,17,-8,69,6.6,20,89,8.5,.547,.541,6.8,0.8,72,$14000000,Amateur Draft,*3
17,Bobby Abreu*\abreubo01,32,2TM,156,686,26,6,1,-8,-6,18,1.7,23,41,3.9,.511,.505,4.7,-1.4,49,$13600000,Traded,9/8D
18,Carlos Beltran#\beltrca01,29,NYM,140,617,45,4,2,13,3,67,6.4,19,86,8.2,.546,.540,6.9,1.5,73,$13571428,Free Agency,*8/D
19,Carlos Delgado*\delgaca01,34,NYM,144,618,21,0,0,-3,-8,10,0.9,19,29,2.7,.507,.506,3.0,-1.2,32,$13500000,Traded,*3/D
20,Vladimir Guerrero\guerrvl01,31,LAA,156,665,25,0,1,-5,-8,13,1.4,25,38,3.7,.508,.508,4.2,-1.2,43,$13500000,Free Agency,*9D
21,Andruw Jones\jonesan01,29,ATL,156,669,20,3,-1,12,3,38,3.6,21,59,5.6,.524,.523,4.4,1.4,47,$13500000,Amateur Free Agent,*8/D
22,Johnny Damon*\damonjo01,32,NYY,149,671,12,1,2,-6,1,10,1.1,23,34,3.4,.507,.506,3.9,-0.4,40,$13000000,Free Agency,*8D/3
23,Hideki Matsui*\matsuhi01,32,NYY,51,201,7,0,0,-4,-3,0,0.1,8,8,0.8,.501,.500,1.2,-0.6,12,$13000000,Free Agency,7D
24,Curt Schilling\schilcu01,39,BOS,31,2,0,0,0,0,0,1,0.1,0,1,0.1,.502,.500,0.1,0.0,1,$13000000,Traded,1
25,Richie Sexson\sexsori01,31,SEA,158,663,12,-3,-1,4,-10,2,0.3,25,27,2.7,.501,.501,2.3,-0.5,23,$13000000,Free Agency,*3/D
26,Adrian Beltre\beltrad01,27,SEA,156,681,8,1,0,19,3,30,3.1,25,55,5.4,.519,.518,3.5,2.2,36,$12900000,Free Agency,*5/4D
27,Roy Halladay\hallaro01,29,TOR,32,3,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$12750000,Amateur Draft,1
28,Ichiro Suzuki*\suzukic01,32,SEA,161,752,8,8,4,13,-4,28,2.9,25,53,5.3,.517,.517,4.0,0.9,40,$12500000,Purchased,*98/D
29,Scott Rolen\rolensc01,31,STL,142,594,21,2,2,16,2,43,4.1,19,61,5.8,.529,.526,4.2,1.8,45,$12456336,Traded,*5
30,Chipper Jones#\jonesch06,34,ATL,110,477,35,0,0,-14,2,23,2.1,15,38,3.6,.520,.514,4.9,-1.2,52,$12333333,Amateur Draft,5/D
31,Roger Clemens\clemero02,43,HOU,19,38,-6,0,0,0,6,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$12200000,Free Agency,1
32,Jim Edmonds*\edmonji01,36,STL,110,408,3,0,0,-3,2,1,0.0,13,14,1.3,.501,.501,1.6,-0.2,17,$12074702,Traded,8/3
33,Paul Konerko\konerpa01,30,CHW,152,643,27,-5,-4,-3,-9,6,0.6,24,29,2.9,.504,.503,3.2,-1.2,32,$12000000,Free Agency,*3D
34,Jorge Posada#\posadjo01,34,NYY,143,545,18,-4,0,-2,8,20,2.0,20,40,4.0,.513,.512,4.1,0.6,42,$12000000,Amateur Draft,*2/D3
35,Javier Vazquez\vazquja01,29,CHW,33,2,1,0,0,0,0,1,0.1,0,1,0.1,.504,.501,0.1,0.0,1,$12000000,Traded,1
36,Kerry Wood\woodke02,29,CHC,4,6,1,0,0,0,1,2,0.2,0,2,0.2,.540,.501,0.2,0.0,2,$12000000,Free Agency,/1
