k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
146,Guillermo Mota\motagu01,30,2TM,96.2,78,0,33,3.07,4.60,0.22,-0.34,97.6,3.94,9,0.9,1.49,0.0,1.7,18,.512,.504,$1475000,Traded
147,Kyle Farnsworth\farnsky01,28,CHC,66.2,72,0,39,5.27,4.87,-0.09,-0.36,101.9,4.69,-5,-0.5,1.23,-0.2,-0.1,2,.494,.497,$1400000,Amateur Draft
148,Tom Martin*\martito02,34,2TM,45.1,76,0,20,3.97,4.93,0.34,-0.36,97.4,4.12,0,0.0,1.30,-0.1,0.4,5,.501,.500,$1400000,Traded
149,Antonio Alfonseca\alfonan01,32,ATL,73.2,79,0,24,2.93,4.75,0.27,-0.35,100.4,4.15,9,1.0,.96,-0.2,1.5,16,.512,.506,$1350000,Free Agency
150,Joey Eischen*\eischjo01,34,MON,18.1,21,0,10,4.91,5.01,0.25,-0.37,109.0,4.79,0,0.0,1.42,0.0,0.1,1,.498,.500,$1300000,Free Agency
151,B.J. Ryan*\ryanb.01,28,BAL,87.0,76,0,24,2.48,5.03,-0.13,-0.37,100.9,4.83,22,2.1,1.57,0.4,3.4,33,.528,.513,$1275000,Traded
152,Curt Leskanic\leskacu01,36,2TM,43.1,51,0,27,5.61,5.24,-0.09,-0.39,103.2,5.10,-3,-0.3,1.00,-0.1,0.1,3,.495,.500,$1250000,Free Agency
153,David Wells*\wellsda01,41,SDP,195.2,31,31,85,3.91,4.66,-0.06,0.18,90.4,4.43,10,1.0,,-0.1,2.6,29,.534,.506,$1250000,Free Agency
154,Chad Fox\foxch02,33,FLA,10.2,12,0,8,6.75,4.81,0.05,-0.35,103.1,4.54,-3,-0.3,1.34,-0.1,-0.2,-2,.478,.498,$1200000,Free Agency
155,Kent Mercker*\merckke01,36,CHC,53.0,71,0,15,2.55,4.74,-0.09,-0.35,102.4,4.59,12,1.2,1.14,0.0,1.6,17,.517,.507,$1200000,Free Agency
156,Brett Tomko\tomkobr01,31,SFG,194.0,32,31,98,4.55,4.56,-0.30,0.18,100.7,5.07,10,1.0,.31,-0.1,2.6,28,.533,.506,$1200000,Free Agency
157,Robin Ventura\venturo01,36,LAD,1.0,1,0,0,0.00,5.22,0.44,-0.39,90.0,3.95,0,0.0,.00,0.0,0.0,1,.545,.500,$1200000,Traded
158,Matt Herges\hergema01,34,SFG,65.1,70,0,44,6.06,4.84,-0.33,-0.35,101.2,4.87,-9,-0.9,1.74,-0.5,-0.8,-3,.487,.494,$1100000,Traded
159,Jose Jimenez\jimenjo01,30,CLE,36.1,31,0,37,9.17,5.07,-0.08,-0.38,92.8,4.42,-20,-1.8,1.52,-0.6,-2.0,-15,.442,.489,$1025000,Free Agency
160,David Riske\riskeda01,27,CLE,77.1,72,0,32,3.72,5.03,-0.06,-0.37,95.1,4.49,6,0.5,1.16,-0.1,1.2,16,.507,.503,$1025000,Amateur Draft
161,Scott Eyre*\eyresc01,32,SFG,52.2,83,0,26,4.44,4.86,-0.26,-0.36,101.8,4.85,2,0.2,1.54,-0.1,0.6,7,.503,.501,$1000000,Waivers
162,John Franco*\francjo01,43,NYM,46.0,52,0,28,5.48,4.78,-0.22,-0.35,98.6,4.59,-5,-0.5,.97,-0.1,-0.2,-1,.491,.497,$1000000,Free Agency
163,Jason Grimsley\grimsja01,36,2TM,63.0,73,0,36,5.14,5.11,-0.15,-0.38,101.4,4.95,-2,-0.2,1.48,-0.2,0.2,6,.497,.499,$1000000,Traded
164,Shane Reynolds\reynosh01,36,ARI,2.0,1,1,6,27.00,5.39,-0.07,0.21,114.0,6.47,-5,-0.3,,0.0,-0.3,-4,.191,.498,$1000000,Free Agency
165,Jeff Suppan\suppaje01,29,STL,188.0,31,31,98,4.69,4.64,0.20,0.18,99.9,4.61,-3,-0.3,,-0.1,1.2,15,.491,.498,$1000000,Free Agency
166,Ron Villone*\villoro01,34,SEA,117.0,56,10,64,4.92,5.14,0.12,-0.12,97.8,4.80,-3,-0.3,1.00,-0.2,0.8,12,.494,.498,$1000000,Free Agency
167,Todd Zeile\zeileto01,38,NYM,1.0,1,0,5,45.00,3.74,-0.50,-0.27,110.0,4.37,-5,-0.3,.01,0.2,-0.2,-4,.193,.498,$1000000,Free Agency
168,Chad Bradford\bradfch01,29,OAK,59.0,68,0,32,4.88,5.13,-0.12,-0.38,98.7,4.81,-1,-0.1,1.29,-0.2,0.4,6,.498,.499,$965000,Traded
169,Chris Reitsma\reitsch01,26,ATL,79.2,84,0,38,4.29,4.72,0.27,-0.35,100.9,4.14,-2,-0.2,1.28,-0.2,0.3,6,.498,.499,$950000,Traded
170,Brian Lawrence\lawrebr02,28,SDP,203.0,34,34,101,4.48,4.73,-0.06,0.19,91.7,4.56,0,0.0,,-0.1,1.6,20,.501,.500,$925000,Amateur Draft
171,Jake Westbrook\westbja01,26,CLE,215.2,33,30,95,3.96,5.00,-0.07,0.16,94.5,4.94,20,2.0,1.14,-0.1,4.1,48,.562,.513,$925000,Traded
172,Cal Eldred\eldreca01,36,STL,67.0,52,0,31,4.16,4.63,0.19,-0.34,99.8,4.09,-1,-0.1,1.00,-0.1,0.4,5,.498,.499,$900000,Free Agency
173,Ray King*\kingra01,30,STL,62.0,86,0,19,2.76,4.69,0.18,-0.34,100.0,4.16,9,0.9,1.11,-0.1,1.4,15,.511,.506,$900000,Traded
174,Ben Weber\weberbe01,34,ANA,22.1,18,0,24,9.67,5.12,-0.09,-0.38,99.2,4.79,-12,-1.1,.96,0.0,-0.9,-10,.437,.493,$900000,Waivers
175,Valerio De Los Santos*\delosva01,31,TOR,11.2,17,0,8,6.17,5.75,0.27,-0.43,105.4,5.33,-1,-0.1,.74,0.0,0.0,0,.493,.499,$850000,Free Agency
176,Damian Moss*\mossda01,27,TBD,8.0,5,2,15,16.88,5.45,-0.01,-0.10,99.3,5.33,-10,-0.8,.08,0.2,-0.6,-9,.331,.495,$850000,Free Agency
177,Scott Stewart*\stewasc01,28,2TM,26.0,34,0,22,7.62,5.27,0.16,-0.39,97.5,4.58,-9,-0.9,1.44,-0.3,-0.9,-6,.475,.497,$850000,Traded
178,Jaret Wright\wrighja02,28,ATL,186.1,32,32,79,3.82,4.65,0.25,0.18,100.2,4.59,15,1.5,,-0.1,3.0,32,.548,.510,$850000,Waivers
179,Al Levine\levinal01,36,DET,70.2,65,0,37,4.71,5.06,-0.14,-0.38,97.4,4.70,-1,-0.1,1.12,-0.2,0.5,8,.499,.499,$825000,Free Agency
180,J.C. Romero*\romerj.01,28,MIN,74.1,74,0,32,3.87,5.11,-0.01,-0.38,101.4,4.80,7,0.6,1.62,0.0,1.5,16,.509,.504,$820000,Amateur Draft
181,Dustin Hermanson\hermadu01,31,SFG,131.0,47,18,71,4.88,4.65,-0.28,0.07,101.8,5.10,2,0.2,1.84,-0.1,1.3,15,.505,.501,$800000,Free Agency
182,Jose Mesa\mesajo01,38,PIT,69.1,70,0,26,3.38,4.68,-0.15,-0.34,100.1,4.49,8,0.8,1.57,0.1,1.5,15,.512,.505,$800000,Free Agency
183,Cliff Politte\politcl01,30,CHW,51.1,54,0,26,4.56,5.03,0.09,-0.37,102.3,4.67,0,0.0,1.05,-0.1,0.4,7,.500,.500,$800000,Free Agency
184,Ismael Valdez\valdeis01,30,2TM,170.0,34,31,105,5.56,4.39,-0.02,0.16,93.5,4.27,-25,-2.4,.90,-0.1,-1.1,-9,.429,.491,$800000,Traded
185,Kelly Wunsch*\wunscke01,31,CHW,2.0,3,0,0,0.00,5.24,0.09,-0.39,98.0,4.67,1,0.1,.38,0.0,0.1,1,.533,.501,$800000,Free Agency
186,Salomon Torres\torresa01,32,PIT,92.0,84,0,33,3.23,4.82,-0.14,-0.35,101.0,4.65,14,1.4,1.38,0.1,2.3,23,.517,.509,$775000,Free Agency
187,Jamie Walker*\walkeja01,32,DET,64.2,70,0,28,3.90,5.14,-0.13,-0.38,96.8,4.74,5,0.5,1.40,-0.1,1.1,14,.507,.503,$775000,Free Agency
188,Jeff D'Amico\d'amije01,28,CLE,30.2,7,7,29,8.51,4.92,-0.08,0.19,96.2,4.99,-12,-1.0,,0.0,-0.7,-8,.352,.494,$750000,Free Agency
189,Roberto Hernandez\hernaro01,39,PHI,56.2,63,0,39,6.19,4.68,0.10,-0.34,103.9,4.40,-12,-1.2,1.12,-0.2,-0.9,-6,.482,.493,$750000,Free Agency
190,Darren Oliver*\oliveda02,33,2TM,72.2,27,10,50,6.19,4.79,0.10,-0.01,99.1,4.63,-13,-1.2,.40,0.0,-0.6,-6,.454,.495,$750000,Free Agency
191,Antonio Osuna\osunaan01,31,SDP,36.2,31,0,11,2.70,4.64,-0.05,-0.34,92.2,4.01,5,0.5,1.00,-0.1,0.8,9,.517,.503,$750000,Free Agency
192,Shingo Takatsu\takatsh01,35,CHW,62.1,59,0,17,2.45,5.02,0.09,-0.37,102.4,4.67,14,1.4,1.40,0.1,2.2,23,.524,.509,$750000,Free Agency
193,Scott Erickson\ericksc01,36,2TM,27.0,6,6,22,7.33,5.14,-0.26,0.20,107.5,6.02,-4,-0.3,,0.0,-0.1,-1,.442,.499,$700000,Free Agency
194,Vladimir Nunez\nunezvl01,29,COL,25.2,22,0,22,7.71,4.69,-0.14,-0.34,118.5,5.32,-7,-0.7,1.56,-0.2,-0.7,-5,.469,.496,$700000,Free Agency
195,Akinori Otsuka\otsukak01,32,SDP,77.1,73,0,16,1.86,4.65,-0.05,-0.34,91.6,3.99,18,1.8,1.56,0.4,2.9,25,.525,.511,$700000,Free Agency
196,Turk Wendell\wendetu01,37,COL,16.2,12,0,13,7.02,4.72,-0.15,-0.35,116.3,5.27,-3,-0.3,.50,0.0,-0.1,-2,.472,.498,$700000,Free Agency
197,Jim Brower\broweji01,31,SFG,93.0,89,0,42,4.06,4.72,-0.29,-0.35,101.8,4.75,6,0.7,1.53,0.0,1.5,15,.507,.504,$662500,Traded
198,Trever Miller*\milletr02,31,TBD,49.0,60,0,21,3.86,5.34,-0.01,-0.40,98.3,4.87,5,0.5,1.13,-0.1,0.9,11,.508,.503,$650000,Free Agency
199,John Riedling\riedljo01,28,CIN,77.2,70,0,54,6.26,4.69,0.05,-0.34,98.7,4.24,-18,-1.8,1.02,-0.2,-1.3,-11,.475,.489,$650000,Free Agency
200,Esteban Yan\yanes01,29,DET,87.0,69,0,43,4.45,5.05,-0.13,-0.37,95.1,4.56,0,0.0,1.46,-0.2,0.7,11,.500,.500,$650000,Free Agency
201,Brian Meadows\meadobr01,28,PIT,78.0,68,0,40,4.62,4.79,-0.15,-0.35,100.6,4.61,-1,-0.1,1.06,-0.2,0.5,7,.499,.500,$625000,Free Agency
202,Abraham Nunez\nunezab01,28,PIT,0.1,1,0,0,0.00,4.73,-0.11,-0.35,100.0,4.48,0,0.0,.00,0.0,0.0,0,.517,.500,$625000,Traded
203,Paul Abbott\abbotpa01,36,2TM,96.0,20,19,76,7.13,5.08,0.05,0.18,101.6,5.29,-21,-1.9,.46,-0.1,-1.0,-10,.407,.494,$600000,Free Agency
204,Shawn Estes*\estessh01,31,COL,202.0,34,34,133,5.93,4.73,-0.16,0.19,110.5,5.61,-9,-0.8,,-0.1,0.7,11,.475,.495,$600000,Free Agency
205,John Halama*\halamjo01,32,TBD,118.2,34,14,68,5.16,5.06,-0.01,-0.02,99.8,5.04,-3,-0.3,.74,-0.1,0.8,12,.491,.498,$600000,Free Agency
206,Dan Miceli\micelda01,33,HOU,77.2,74,0,34,3.94,4.73,0.19,-0.35,102.0,4.28,2,0.2,1.43,-0.1,0.8,10,.503,.502,$600000,Conditional Deal
207,Eddie Oropesa*\oropeed01,32,SDP,9.0,16,0,12,12.00,5.30,-0.05,-0.39,87.1,4.32,-8,-0.8,.99,0.0,-0.7,-7,.453,.495,$600000,Free Agency
208,Steve Reed\reedst01,39,COL,66.0,65,0,29,3.95,4.86,-0.16,-0.36,113.3,5.28,9,0.9,1.24,0.0,1.5,16,.515,.506,$600000,Free Agency
209,Aaron Fultz*\fultzaa01,30,MIN,50.0,55,0,28,5.04,5.04,-0.01,-0.37,101.4,4.74,-2,-0.2,1.21,-0.1,0.2,4,.496,.499,$550000,Free Agency
210,Mike Myers*\myersmi01,35,2TM,42.2,75,0,22,4.64,5.49,0.04,-0.41,100.6,5.07,1,0.1,1.21,-0.1,0.5,7,.502,.500,$550000,Waivers
211,Dennys Reyes*\reyesde01,27,KCR,108.0,40,12,64,5.33,5.05,-0.09,-0.04,101.3,5.16,-4,-0.3,1.42,-0.2,0.6,10,.492,.498,$550000,Free Agency
212,Luis Vizcaino\vizcalu01,29,MIL,72.0,73,0,35,4.38,4.66,-0.11,-0.34,102.8,4.55,1,0.1,1.47,-0.1,0.6,8,.501,.501,$550000,Traded
213,Will Cunnane\cunnawi01,30,ATL,12.1,9,0,10,7.30,4.74,0.29,-0.35,104.3,4.28,-4,-0.4,.59,0.1,-0.2,-3,.454,.497,$525000,Free Agency
214,Jason Marquis\marquja01,25,STL,201.1,32,32,90,4.02,4.48,0.20,0.18,100.3,4.47,9,0.9,,-0.1,2.5,28,.528,.506,$525000,Traded
215,Amaury Telemaco\telemam01,30,PHI,54.1,42,0,27,4.47,4.80,0.10,-0.35,104.4,4.54,0,0.0,.96,-0.1,0.4,5,.500,.500,$525000,Free Agency
216,Armando Almanza*\almanar01,31,ATL,11.2,13,0,8,6.17,4.60,0.24,-0.34,99.9,4.02,-3,-0.3,.68,0.0,-0.2,-2,.478,.498,$500000,Free Agency
217,Jeff Fassero*\fasseje01,41,2TM,112.0,41,12,73,5.87,4.76,-0.17,-0.02,113.6,5.57,-4,-0.4,.79,-0.1,0.4,6,.489,.497,$500000,Free Agency
218,Orlando Hernandez\hernaor01,38,NYY,84.2,15,15,31,3.30,4.95,-0.43,0.19,97.4,5.42,19,2.0,,0.0,2.8,30,.631,.512,$500000,Free Agency
219,Michael Jackson\jacksmi02,39,CHW,46.2,45,0,27,5.21,5.06,0.11,-0.38,101.6,4.65,-4,-0.3,.65,-0.1,0.1,3,.493,.498,$500000,Free Agency
220,Todd Jones\jonesto02,36,2TM,82.1,78,0,39,4.26,4.67,0.06,-0.34,99.1,4.23,-1,-0.1,1.44,-0.1,0.5,7,.499,.500,$500000,Free Agency
221,Ron Mahay*\mahayro01,33,TEX,67.0,60,0,23,3.09,5.00,-0.19,-0.37,108.5,5.23,15,1.5,1.14,-0.1,2.1,24,.525,.509,$500000,Free Agency
222,Damaso Marte*\marteda01,29,CHW,73.2,74,0,28,3.42,5.11,0.08,-0.38,102.0,4.74,10,0.9,1.51,0.1,1.8,19,.513,.506,$500000,Traded
223,Dave McCarty*\mccarda01,34,BOS,3.2,3,0,1,2.45,5.18,-0.07,-0.39,104.0,5.06,1,0.1,.37,0.0,0.1,1,.533,.501,$500000,Waivers
224,Steve Sparks\sparkst01,38,ARI,120.2,29,18,89,6.64,4.99,-0.04,0.11,104.2,5.36,-18,-1.7,.32,0.0,-0.7,-7,.440,.489,$500000,Free Agency
225,Scott Elarton\elartsc01,28,2TM,158.2,29,29,107,6.07,4.87,-0.10,0.19,101.1,5.19,-17,-1.4,,-0.1,0.0,2,.450,.498,$480000,Free Agency
226,Doug Davis*\davisdo02,28,MIL,207.1,34,34,84,3.65,4.69,-0.11,0.18,100.8,5.02,30,3.3,,-0.1,4.9,50,.596,.520,$450000,Free Agency
227,Tim Laker\lakerti01,34,CLE,1.0,1,0,0,0.00,4.37,-0.06,-0.32,88.0,3.61,0,0.0,.00,0.0,0.0,1,.538,.500,$450000,Free Agency
228,Mike Lincoln\lincomi01,29,STL,17.1,13,0,12,6.23,4.49,0.18,-0.33,101.0,4.02,-4,-0.4,1.38,-0.1,-0.4,-3,.467,.497,$450000,Free Agency
229,Donovan Osborne*\osbordo01,35,NYY,17.2,9,2,16,8.15,5.12,-0.54,-0.17,97.3,5.34,-6,-0.5,.69,0.0,-0.3,-3,.441,.497,$450000,Free Agency
230,Kevin Walker*\walkeke02,27,SFG,1.2,5,0,3,16.20,6.45,-0.33,-0.48,99.8,6.29,-2,-0.2,.84,0.0,-0.2,-2,.464,.499,$450000,Waivers
231,Carlos Zambrano\zambrca01,23,CHC,209.2,31,31,73,3.13,4.67,-0.10,0.18,103.5,5.13,45,5.0,,-0.1,6.7,65,.662,.531,$450000,Amateur Free Agent
232,Dave Burba\burbada01,37,2TM,77.0,51,0,40,4.68,4.64,-0.14,-0.34,101.9,4.52,-2,-0.2,.93,-0.2,0.3,5,.496,.499,$440000,Free Agency
233,Joe Nathan\nathajo01,29,MIN,72.1,73,0,14,1.74,5.07,0.00,-0.38,102.3,4.80,24,2.3,1.83,0.8,3.9,33,.532,.514,$440000,Traded
234,Adrian Hernandez\hernaad01,29,MIL,16.0,6,1,18,10.13,4.37,-0.13,-0.19,100.6,4.34,-10,-0.9,1.11,-0.1,-0.8,-9,.349,.494,$425000,Free Agency
235,Carlos Almanzar\almanca01,30,TEX,72.2,67,0,32,3.96,5.00,-0.20,-0.37,108.7,5.25,9,0.9,1.21,-0.1,1.6,19,.514,.506,$420000,Free Agency
236,Matt Kinney\kinnema01,27,2TM,78.2,43,6,55,6.29,5.01,-0.12,-0.19,99.9,4.93,-13,-1.2,.70,0.0,-0.5,-5,.472,.496,$400000,Waivers
237,Kyle Lohse\lohseky01,25,MIN,194.0,35,34,128,5.94,4.94,-0.01,0.19,102.5,5.27,-17,-1.6,2.40,-0.1,0.3,8,.455,.490,$395000,Traded
238,Tim Redding\redditi01,26,HOU,100.2,27,17,73,6.53,4.58,0.23,0.10,101.3,4.51,-23,-2.2,.35,0.0,-1.3,-14,.419,.486,$395000,Amateur Draft
239,Ricky Stone\stoneri01,29,2TM,51.2,43,0,39,6.79,4.77,0.04,-0.35,93.0,4.06,-16,-1.6,.45,0.3,-0.8,-11,.464,.494,$395000,Free Agency
240,Brandon Duckworth\duckwbr01,28,HOU,39.1,19,6,30,6.86,4.70,0.24,-0.07,102.8,4.52,-10,-1.0,.37,0.1,-0.6,-7,.447,.494,$390000,Traded
241,Jorge Julio\juliojo01,25,BAL,69.0,65,0,35,4.57,5.02,-0.16,-0.37,100.2,4.81,1,0.1,1.51,-0.1,0.7,10,.501,.501,$385000,Traded
242,Brooks Kieschnick\kiescbr01,32,MIL,43.0,32,0,19,3.98,4.86,-0.12,-0.36,101.3,4.69,3,0.3,1.03,-0.1,0.6,7,.510,.502,$380000,Free Agency
243,Kevin Gryboski\gryboke01,30,ATL,50.2,69,0,22,3.91,4.72,0.28,-0.35,100.2,4.11,1,0.1,1.43,-0.1,0.4,6,.501,.500,$377500,Traded
244,Brendan Donnelly\donnebr01,32,ANA,42.0,40,0,14,3.00,4.98,-0.05,-0.37,98.0,4.58,7,0.7,.95,-0.1,1.0,12,.517,.504,$375000,Free Agency
245,John Lackey\lackejo01,25,ANA,198.1,33,32,108,4.90,4.97,-0.07,0.19,98.2,5.13,2,0.2,.05,-0.1,2.2,28,.507,.501,$375000,Amateur Draft
246,C.J. Nitkowski*\nitkoc.01,31,2TM,33.0,41,0,22,6.00,4.92,-0.04,-0.36,100.2,4.61,-5,-0.5,.46,0.1,-0.2,-2,.487,.498,$375000,Free Agency
247,Francisco Rodriguez\rodrifr03,22,ANA,84.0,69,0,21,2.25,4.96,-0.05,-0.37,97.7,4.53,20,2.0,1.69,0.5,3.4,31,.529,.512,$375000,Amateur Free Agent
248,Scot Shields\shielsc01,28,ANA,105.1,60,0,42,3.59,5.02,-0.06,-0.37,96.9,4.57,10,1.0,1.25,-0.1,2.0,24,.516,.506,$375000,Amateur Draft
249,Juan Cruz\cruzju02,25,ATL,72.0,50,0,24,3.00,4.60,0.23,-0.34,100.8,4.07,8,0.8,.60,-0.3,1.1,15,.517,.505,$370000,Traded
250,Rodrigo Lopez\lopezro02,28,BAL,170.2,37,23,71,3.74,5.17,-0.18,0.09,99.9,5.43,30,3.0,1.90,0.1,4.9,52,.582,.519,$365000,Free Agency
251,Brett Myers\myersbr01,23,PHI,176.0,32,31,113,5.78,4.74,0.10,0.18,104.3,5.03,-16,-1.5,2.37,-0.1,-0.2,1,.452,.490,$362500,Amateur Draft
252,Wayne Franklin*\frankwa01,30,SFG,50.2,43,2,37,6.57,4.64,-0.29,-0.27,102.7,4.78,-10,-1.0,.94,-0.1,-0.7,-6,.476,.494,$360000,Traded
253,Aaron Harang\haranaa01,26,CIN,161.0,28,28,90,5.03,4.69,0.04,0.18,98.6,4.76,-6,-0.6,,-0.1,0.7,9,.479,.496,$360000,Traded
254,Brad Lidge\lidgebr01,27,HOU,94.2,80,0,21,2.00,4.62,0.12,-0.34,101.6,4.23,23,2.4,1.70,0.6,3.8,32,.530,.515,$360000,Amateur Draft
255,Brian Shouse*\shousbr01,35,TEX,44.1,53,0,12,2.44,5.24,-0.19,-0.39,107.5,5.41,14,1.4,1.15,0.0,1.9,20,.526,.509,$360000,Free Agency
256,Dontrelle Willis*\willido03,22,FLA,197.0,32,32,99,4.52,4.57,0.08,0.18,95.2,4.45,-3,-0.3,,-0.1,1.3,16,.491,.498,$353500,Traded
257,Jeremy Affeldt*\affelje01,25,KCR,76.1,38,8,49,5.78,5.24,-0.09,-0.03,103.1,5.47,-4,-0.3,1.48,-0.1,0.3,6,.491,.498,$350000,Amateur Draft
258,Jason Boyd\boydja02,31,PIT,13.0,12,0,9,6.23,4.77,-0.14,-0.35,104.7,4.78,-2,-0.2,.66,0.0,-0.1,-1,.482,.499,$350000,Waivers
259,Jeremy Fikac\fikacje01,29,MON,25.0,19,0,16,5.76,4.65,0.26,-0.34,107.2,4.33,-4,-0.4,1.00,-0.1,-0.2,-2,.478,.497,$350000,Free Agency
260,Jake Peavy\peavyja01,23,SDP,166.1,27,27,49,2.65,4.66,-0.05,0.18,91.5,4.48,33,3.6,,-0.1,4.9,48,.633,.522,$350000,Amateur Draft
261,Jason Simontacchi\simonja01,30,STL,15.1,13,0,10,5.87,4.54,0.22,-0.33,98.3,3.92,-3,-0.3,.30,0.1,-0.1,-2,.474,.498,$350000,Free Agency
262,Mike MacDougal\macdomi01,27,KCR,11.1,13,0,8,6.35,5.22,-0.09,-0.39,103.0,5.07,-2,-0.2,.79,0.0,-0.1,0,.487,.499,$346500,Amateur Draft
263,Casey Fossum*\fossuca01,26,ARI,142.0,27,27,111,7.04,4.90,-0.04,0.19,105.1,5.39,-27,-2.5,,-0.1,-1.4,-13,.407,.485,$345000,Traded
264,Julio Mateo\mateoju01,26,SEA,57.2,45,0,30,4.68,5.19,0.12,-0.39,97.6,4.57,-1,-0.1,1.48,-0.2,0.3,6,.497,.499,$345000,Amateur Free Agent
265,Josh Fogg\foggjo01,27,PIT,178.1,32,32,98,4.95,4.69,-0.15,0.18,100.6,5.05,1,0.1,,-0.1,1.5,18,.503,.501,$342000,Traded
266,Jose Acevedo\acevejo01,26,CIN,157.2,39,27,108,6.16,4.64,0.04,0.13,99.4,4.70,-27,-2.6,.85,-0.1,-1.3,-12,.434,.484,$340000,Amateur Free Agent
267,Jason Jennings\jennija01,25,COL,201.0,33,33,125,5.60,4.77,-0.16,0.19,113.4,5.81,3,0.3,,-0.1,1.9,22,.510,.502,$340000,Amateur Draft
268,Carlos Silva\silvaca01,25,MIN,203.0,33,33,100,4.43,5.10,-0.01,0.20,102.1,5.42,19,1.9,,-0.1,3.9,46,.559,.512,$340000,Traded
269,Josh Towers\towerjo01,27,TOR,116.1,21,21,70,5.42,5.05,0.33,0.19,101.6,4.99,-7,-0.7,,-0.1,0.5,8,.468,.496,$340000,Free Agency
270,Dan Wright\wrighda02,26,CHW,17.2,4,4,17,8.66,4.91,0.12,0.19,99.6,4.95,-8,-0.6,,0.0,-0.5,-5,.344,.496,$340000,Amateur Draft
271,R.A. Dickey\dicker.01,29,TEX,104.1,25,15,77,6.64,5.05,-0.23,0.07,110.0,5.89,-10,-0.9,.64,-0.1,0.1,3,.462,.494,$337500,Amateur Draft
272,Colby Lewis\lewisco01,24,TEX,15.1,3,3,7,4.11,4.96,-0.19,0.19,103.7,5.53,2,0.2,,0.0,0.4,4,.575,.501,$337500,Amateur Draft
273,Rick Bauer\bauerri01,27,BAL,53.2,23,2,31,5.20,5.04,-0.18,-0.27,97.5,4.82,-3,-0.3,.61,-0.1,0.2,4,.488,.498,$335000,Amateur Draft
274,Joaquin Benoit\benoijo01,26,TEX,103.0,28,15,67,5.85,5.15,-0.20,0.04,109.6,5.90,-1,-0.1,.48,-0.1,0.9,12,.497,.500,$335000,Amateur Free Agent
275,Nate Cornejo\cornena01,24,DET,25.2,5,5,25,8.77,4.96,-0.16,0.19,93.4,4.96,-11,-0.9,,0.0,-0.7,-8,.320,.494,$335000,Amateur Draft
276,Rafael Soriano\soriara01,24,SEA,3.1,6,0,6,16.20,5.38,0.19,-0.40,95.7,4.58,-4,-0.4,1.58,-0.1,-0.5,-4,.434,.498,$335000,Amateur Free Agent
277,Brandon Webb\webbbr01,25,ARI,208.0,35,35,111,4.80,4.88,-0.04,0.19,108.3,5.53,15,1.6,,-0.1,3.2,35,.546,.510,$335000,Amateur Draft
278,Bronson Arroyo\arroybr01,27,BOS,178.2,32,29,99,4.99,5.05,-0.09,0.18,105.2,5.60,10,1.0,1.29,-0.1,2.7,33,.530,.506,$332500,Waivers
279,Mike Maroth*\marotmi01,26,DET,217.0,33,33,112,4.65,5.01,-0.14,0.19,98.0,5.23,11,1.1,,-0.1,3.2,39,.534,.507,$332500,Traded
280,Jeremy Bonderman\bondeje01,21,DET,184.0,33,32,101,4.94,5.00,-0.12,0.19,97.2,5.16,2,0.2,.44,-0.1,2.0,26,.506,.501,$330000,Traded
281,Mike Koplove\koplomi01,27,ARI,86.2,76,0,42,4.36,4.84,-0.04,-0.35,107.6,4.87,4,0.4,1.41,-0.1,1.1,13,.506,.503,$330000,Amateur Draft
282,Horacio Ramirez*\ramirho01,24,ATL,60.1,10,9,24,3.58,4.38,0.27,0.16,103.5,4.42,5,0.5,.29,0.0,1.0,11,.555,.503,$330000,Amateur Draft
283,Juan Rincon\rincoju01,25,MIN,82.0,77,0,27,2.96,5.11,0.00,-0.38,102.1,4.83,16,1.6,1.53,0.2,2.7,27,.520,.510,$330000,Amateur Free Agent
284,Brian Reith\reithbr01,26,CIN,26.0,22,0,21,7.27,4.59,0.04,-0.34,99.0,4.17,-9,-0.9,1.11,-0.1,-0.8,-7,.459,.494,$327250,Waivers
285,Jason Davis\davisja02,24,CLE,114.1,26,19,81,6.38,5.02,-0.08,0.16,93.1,4.90,-20,-1.8,.62,-0.1,-0.7,-6,.429,.489,$326800,Amateur Draft
286,Scott Linebrink\linebsc01,27,SDP,84.0,73,0,22,2.36,4.73,-0.05,-0.35,92.3,4.09,16,1.6,1.43,0.2,2.5,24,.522,.510,$326000,Waivers
287,Randy Choate*\choatra01,28,ARI,50.2,74,0,26,4.62,4.98,-0.04,-0.36,107.3,4.99,2,0.2,1.21,-0.1,0.5,7,.502,.501,$325750,Traded
288,Jared Fernandez\fernaja01,32,HOU,1.0,2,1,6,54.00,4.36,0.59,-0.15,100.0,3.62,-6,-0.4,.04,0.1,-0.3,-6,.277,.497,$325000,Free Agency
289,Matt Perisho*\perisma01,29,FLA,47.0,66,0,23,4.40,4.82,0.07,-0.35,96.3,4.23,-1,-0.1,1.43,-0.1,0.2,3,.498,.499,$325000,Free Agency
290,Oscar Villarreal\villaos01,22,ARI,18.0,17,0,14,7.00,4.88,-0.04,-0.36,109.2,4.98,-4,-0.4,1.56,-0.2,-0.4,-2,.476,.497,$325000,Amateur Free Agent
