k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
41,Steve Karsay\karsast01,32,NYY,6.2,7,0,3,4.05,5.08,-0.49,-0.38,100.8,5.23,1,0.1,.03,-0.1,0.1,2,.511,.500,$6000000,Free Agency
42,Greg Maddux\maddugr01,38,CHC,212.2,33,33,103,4.36,4.64,-0.11,0.18,102.1,5.03,14,1.5,,-0.1,3.2,35,.546,.509,$6000000,Free Agency
43,Bob Wickman\wickmbo01,35,CLE,29.2,30,0,14,4.25,4.94,-0.06,-0.37,93.6,4.34,0,0.0,1.66,-0.1,0.2,4,.500,.500,$6000000,Free Agency
44,Kelvim Escobar\escobke01,28,ANA,208.1,33,33,91,3.93,4.99,-0.06,0.19,97.0,5.08,24,2.4,,-0.1,4.4,51,.573,.515,$5750000,Free Agency
45,Andy Pettitte*\pettian01,32,HOU,83.0,15,15,37,4.01,4.49,0.18,0.18,101.6,4.55,4,0.5,,-0.1,1.1,12,.530,.503,$5500000,Free Agency
46,Jarrod Washburn*\washbja01,29,ANA,149.1,25,25,81,4.88,5.02,-0.07,0.19,97.4,5.15,2,0.2,,-0.1,1.7,22,.509,.501,$5450000,Amateur Draft
47,Roger Clemens\clemero02,41,HOU,214.1,33,33,76,3.19,4.62,0.17,0.18,101.8,4.71,35,3.8,,-0.1,5.5,55,.615,.523,$5000000,Free Agency
48,Eric Gagne\gagneer01,28,LAD,82.1,70,0,24,2.62,4.75,0.25,-0.35,96.1,3.99,12,1.2,1.75,0.3,2.2,20,.518,.508,$5000000,Amateur Free Agent
49,Tim Hudson\hudsoti01,28,OAK,188.2,27,27,82,3.91,4.96,-0.12,0.19,98.0,5.17,24,2.4,,-0.1,4.2,48,.590,.515,$5000000,Amateur Draft
50,Odalis Perez*\perezod01,26,LAD,196.1,31,31,76,3.48,4.69,0.34,0.18,98.6,4.47,20,2.1,,-0.1,3.7,39,.569,.513,$5000000,Traded
51,Steve Trachsel\trachst01,33,NYM,202.2,33,33,104,4.62,4.84,-0.24,0.19,99.2,5.22,12,1.3,,-0.1,2.9,31,.539,.508,$5000000,Free Agency
52,Derek Lowe\lowede01,31,BOS,182.2,33,33,138,6.80,5.05,-0.11,0.19,104.3,5.58,-27,-2.5,,-0.1,-0.7,-4,.425,.485,$4500000,Traded
53,Mark Mulder*\muldema01,26,OAK,225.2,33,33,119,4.75,5.03,-0.12,0.19,97.9,5.22,9,0.9,,-0.1,3.0,38,.527,.505,$4450000,Amateur Draft
54,Randy Wolf*\wolfra02,27,PHI,136.2,23,23,73,4.81,4.50,0.10,0.18,106.0,4.85,0,0.0,,-0.1,1.1,13,.499,.500,$4375000,Amateur Draft
55,Tim Wakefield\wakefti01,37,BOS,188.1,32,30,121,5.78,5.00,-0.10,0.18,106.3,5.62,-6,-0.6,1.00,-0.1,1.2,18,.482,.496,$4350000,Free Agency
56,Kevin Jarvis\jarvike01,34,2TM,15.0,10,0,18,10.80,5.22,0.09,-0.39,104.0,4.94,-10,-0.9,.70,0.1,-0.7,-8,.413,.497,$4250000,Free Agency
57,Elmer Dessens\desseel01,33,2TM,105.0,50,10,61,5.23,4.80,0.02,-0.12,106.3,4.96,-4,-0.4,.70,-0.2,0.4,6,.492,.498,$4000000,Traded
58,Eddie Guardado*\guarded01,33,SEA,45.1,41,0,14,2.78,5.12,0.10,-0.38,98.5,4.58,8,0.8,1.93,0.3,1.6,14,.520,.505,$4000000,Free Agency
59,Esteban Loaiza\loaizes01,32,2TM,183.0,31,27,124,6.10,4.83,-0.05,0.15,101.0,5.07,-23,-2.0,.45,0.0,-0.1,0,.435,.495,$4000000,Free Agency
60,Mike Remlinger*\remlimi01,38,CHC,36.2,48,0,16,3.93,4.69,-0.09,-0.34,103.2,4.59,2,0.2,1.63,0.0,0.6,6,.505,.502,$3983333,Free Agency
61,David Weathers\weathda01,34,3TM,82.1,66,2,44,4.81,4.72,-0.01,-0.29,99.8,4.43,-4,-0.4,1.30,-0.3,0.0,4,.494,.498,$3933333,Free Agency
62,Carl Pavano\pavanca01,28,FLA,222.1,31,31,80,3.24,4.67,0.08,0.18,96.5,4.61,33,3.5,,-0.2,5.3,54,.614,.522,$3800000,Traded
63,Brad Penny\pennybr01,26,2TM,143.0,24,24,55,3.46,4.63,0.09,0.18,95.0,4.48,15,1.6,,-0.1,2.7,29,.568,.509,$3725000,Traded
64,Miguel Batista\batismi01,33,TOR,198.2,38,31,115,5.21,5.22,0.30,0.17,105.6,5.38,1,0.1,1.39,-0.1,2.0,27,.503,.501,$3600000,Free Agency
65,Ramiro Mendoza\mendora01,32,BOS,30.2,27,0,12,3.52,5.19,-0.09,-0.38,103.6,5.07,5,0.5,.69,-0.1,0.7,9,.518,.503,$3600000,Free Agency
66,Armando Benitez\benitar01,31,FLA,69.2,64,0,11,1.42,4.66,0.06,-0.34,96.1,4.09,20,2.1,1.77,0.7,3.4,27,.533,.513,$3500000,Free Agency
67,Mark Buehrle*\buehrma01,25,CHW,245.1,35,35,119,4.37,4.92,0.10,0.19,102.9,5.15,18,1.8,,-0.1,4.2,50,.552,.511,$3500000,Amateur Draft
68,Keith Foulke\foulkke01,31,BOS,83.0,72,0,22,2.39,5.06,-0.08,-0.38,105.2,5.02,23,2.3,1.47,0.3,3.5,34,.532,.514,$3500000,Free Agency
69,Tom Gordon\gordoto01,36,NYY,89.2,80,0,23,2.31,5.04,-0.38,-0.37,97.9,4.94,25,2.5,1.63,0.6,4.0,37,.531,.515,$3500000,Free Agency
70,Jay Powell\powelja04,32,TEX,24.0,23,0,11,4.13,5.09,-0.20,-0.38,107.6,5.29,3,0.3,.99,-0.1,0.5,6,.512,.502,$3500000,Free Agency
71,Paul Wilson\wilsopa02,31,CIN,183.2,29,29,93,4.56,4.74,0.04,0.19,100.0,4.88,5,0.5,,-0.1,2.0,23,.519,.503,$3500000,Free Agency
72,Byung-Hyun Kim\kimby01,25,BOS,17.1,7,3,15,7.79,5.21,-0.11,0.01,101.7,5.42,-5,-0.4,.51,0.0,-0.2,-3,.437,.497,$3425000,Traded
73,Wade Miller\millewa04,27,HOU,88.2,15,15,35,3.55,4.80,0.19,0.19,103.1,4.94,13,1.4,,-0.1,2.1,21,.594,.509,$3400000,Amateur Draft
74,Jim Mecir\mecirji01,34,OAK,47.2,65,0,21,3.97,5.13,-0.11,-0.38,98.8,4.80,4,0.4,1.38,0.0,0.8,10,.506,.502,$3300000,Traded
75,Ramon Ortiz\ortizra02,31,ANA,128.0,34,14,64,4.50,5.00,-0.07,-0.02,98.2,4.95,5,0.5,.64,-0.2,1.6,21,.513,.503,$3266667,Amateur Free Agent
76,Brian Anderson*\anderbr02,32,KCR,166.0,35,26,123,6.67,5.23,-0.10,0.13,102.2,5.59,-22,-2.0,.56,-0.1,-0.4,-1,.442,.487,$3250000,Traded
77,Roy Oswalt\oswalro01,26,HOU,237.0,36,35,100,3.80,4.60,0.19,0.18,101.2,4.64,21,2.2,1.86,-0.2,4.0,43,.560,.513,$3250000,Amateur Draft
78,Scott Williamson\willisc01,28,BOS,28.2,28,0,6,1.88,5.14,-0.07,-0.38,104.4,5.05,10,1.0,1.01,-0.1,1.2,13,.534,.506,$3175000,Traded
79,Mark Prior\priorma01,23,CHC,118.2,21,21,53,4.02,4.73,-0.09,0.19,104.2,5.22,15,1.6,,-0.1,2.5,26,.576,.510,$3150000,Amateur Draft
80,Felix Rodriguez\rodrife01,31,2TM,65.2,76,0,25,3.43,4.82,-0.17,-0.35,101.6,4.72,9,0.9,1.58,0.1,1.6,15,.512,.503,$3050000,Traded
81,Rheal Cormier*\cormirh01,37,PHI,81.0,84,0,32,3.56,4.68,0.10,-0.34,106.2,4.50,8,0.8,1.49,0.0,1.6,16,.510,.505,$3000000,Free Agency
82,Alan Embree*\embreal01,34,BOS,52.1,71,0,28,4.82,5.22,-0.10,-0.39,104.3,5.13,1,0.1,1.26,-0.1,0.6,8,.502,.501,$3000000,Traded
83,Buddy Groom*\groombu01,38,BAL,52.2,60,0,30,5.13,5.15,-0.20,-0.38,100.0,4.97,-2,-0.2,.96,-0.1,0.3,5,.497,.499,$3000000,Free Agency
